customer_id,trans_date,tran_amount,year
CS5539,2014-03-26,81,2014
CS5552,2014-12-29,78,2014
CS6043,2014-01-15,98,2014
CS3904,2014-07-20,103,2014
CS2797,2014-03-06,87,2014
CS5211,2014-05-18,51,2014
CS6087,2014-11-24,37,2014
CS4897,2014-04-12,45,2014
CS3688,2014-06-19,55,2014
CS1423,2014-06-05,78,2014
CS2662,2014-08-31,88,2014
CS2403,2014-07-27,94,2014
CS2051,2014-12-09,101,2014
CS4704,2014-11-25,41,2014
CS5218,2014-06-21,45,2014
CS5489,2014-12-02,77,2014
CS2703,2014-10-12,40,2014
CS3668,2014-08-14,102,2014
CS5776,2014-09-09,87,2014
CS2291,2014-10-15,67,2014
CS4245,2014-06-02,102,2014
CS3344,2014-07-02,56,2014
CS5463,2014-08-27,91,2014
CS5951,2014-08-07,104,2014
CS4320,2014-04-09,52,2014
CS4148,2014-02-08,40,2014
CS4041,2014-12-29,49,2014
CS5970,2014-06-13,40,2014
CS5445,2014-07-27,72,2014
CS5812,2014-11-02,62,2014
CS3147,2014-06-04,84,2014
CS1776,2014-05-03,79,2014
CS1330,2014-11-21,41,2014
CS1195,2014-12-29,83,2014
CS5356,2014-06-17,105,2014
CS4667,2014-09-17,66,2014
CS2390,2014-05-20,104,2014
CS2207,2014-04-05,71,2014
CS1219,2014-11-11,91,2014
CS4934,2014-07-19,80,2014
CS5359,2014-08-12,96,2014
CS2509,2014-02-23,92,2014
CS5994,2014-01-11,42,2014
CS1934,2014-08-18,89,2014
CS5225,2014-03-18,104,2014
CS3552,2014-04-27,102,2014
CS1430,2014-09-02,71,2014
CS5667,2014-02-25,66,2014
CS2359,2014-08-10,87,2014
CS5140,2014-07-11,97,2014
CS6001,2014-02-16,63,2014
CS3981,2014-09-20,74,2014
CS3885,2014-04-29,56,2014
CS4964,2014-05-20,79,2014
CS4881,2014-01-21,55,2014
CS4103,2014-03-02,40,2014
CS4438,2014-07-05,72,2014
CS2234,2014-12-21,36,2014
CS3015,2014-01-30,58,2014
CS3927,2014-03-25,77,2014
CS1969,2014-10-23,39,2014
CS3854,2014-11-09,104,2014
CS1678,2014-05-09,48,2014
CS4292,2014-03-04,98,2014
CS3152,2014-12-15,40,2014
CS5640,2014-01-13,77,2014
CS1472,2014-04-12,72,2014
CS2352,2014-10-06,62,2014
CS4024,2014-02-01,39,2014
CS5638,2014-12-16,58,2014
CS3692,2014-09-17,48,2014
CS4540,2014-08-13,55,2014
CS1697,2014-07-13,98,2014
CS2643,2014-07-20,69,2014
CS6056,2014-03-22,104,2014
CS4649,2014-12-16,93,2014
CS4372,2014-08-27,71,2014
CS2452,2014-04-05,77,2014
CS5260,2014-09-25,89,2014
CS1582,2014-05-24,46,2014
CS2226,2014-10-29,104,2014
CS5004,2014-12-21,59,2014
CS4590,2014-05-31,79,2014
CS4288,2014-04-21,68,2014
CS3442,2014-09-16,39,2014
CS3103,2014-05-07,59,2014
CS5068,2014-11-07,41,2014
CS4376,2014-10-13,49,2014
CS2469,2014-07-19,93,2014
CS4050,2014-08-30,63,2014
CS3209,2014-02-25,82,2014
CS1397,2014-03-26,77,2014
CS1420,2014-09-09,99,2014
CS1492,2014-02-06,82,2014
CS2313,2014-04-10,40,2014
CS5385,2014-04-25,83,2014
CS4701,2014-07-26,53,2014
CS2569,2014-04-29,37,2014
CS3426,2014-05-01,67,2014
CS4908,2014-09-27,78,2014
CS3021,2014-02-10,43,2014
CS4390,2014-07-02,43,2014
CS5668,2014-02-27,91,2014
CS4391,2014-09-07,67,2014
CS3642,2014-05-19,62,2014
CS5948,2014-07-10,71,2014
CS5582,2014-05-23,96,2014
CS3515,2014-07-07,81,2014
CS5628,2014-12-16,94,2014
CS4420,2014-05-28,93,2014
CS3629,2014-09-30,68,2014
CS3779,2014-01-29,92,2014
CS6066,2014-03-17,102,2014
CS3300,2014-12-28,86,2014
CS6009,2014-03-13,39,2014
CS2399,2014-04-21,77,2014
CS1991,2014-09-29,94,2014
CS1133,2014-07-28,91,2014
CS5750,2014-03-25,48,2014
CS2591,2014-01-29,69,2014
CS4099,2014-05-29,67,2014
CS1433,2014-12-22,72,2014
CS5245,2014-10-29,104,2014
CS5354,2014-09-23,83,2014
CS5565,2014-06-04,36,2014
CS2817,2014-06-11,43,2014
CS1582,2014-01-16,85,2014
CS2770,2014-11-07,80,2014
CS1140,2014-12-28,61,2014
CS2333,2014-01-25,93,2014
CS4895,2014-01-11,80,2014
CS4327,2014-09-26,36,2014
CS5490,2014-08-19,36,2014
CS1206,2014-08-11,90,2014
CS4681,2014-02-03,96,2014
CS1906,2014-05-18,60,2014
CS2223,2014-01-17,41,2014
CS2366,2014-04-08,39,2014
CS5335,2014-01-13,45,2014
CS3410,2014-09-06,97,2014
CS1337,2014-07-24,103,2014
CS3569,2014-08-17,61,2014
CS2442,2014-04-30,59,2014
CS1740,2014-09-28,102,2014
CS4913,2014-07-22,53,2014
CS2104,2014-10-25,81,2014
CS1128,2014-04-23,105,2014
CS4171,2014-10-31,53,2014
CS3180,2014-03-09,65,2014
CS2930,2014-01-16,94,2014
CS1883,2014-10-12,57,2014
CS4341,2014-03-17,87,2014
CS5367,2014-12-01,41,2014
CS2134,2014-07-15,77,2014
CS3407,2014-09-17,62,2014
CS3343,2014-04-03,56,2014
CS1590,2014-04-09,39,2014
CS3176,2014-07-28,50,2014
CS5638,2014-11-12,68,2014
CS5356,2014-04-01,91,2014
CS5803,2014-11-28,96,2014
CS5611,2014-12-29,65,2014
