customer_id,trans_date
CS5295,11-Feb-13
CS4768,15-Mar-15
CS2122,26-Feb-13
CS1217,16-Nov-11
CS1850,20-Nov-13
CS5539,26-Mar-14
CS2724,06-Feb-12
CS5902,30-Jan-15
CS6040,08-Jan-13
CS3802,20-Aug-13
CS3494,02-Jul-13
CS3780,25-Mar-13
CS1171,03-Nov-12
CS2892,12-May-13
CS5552,29-Dec-14
CS6043,15-Jan-14
CS4147,08-Jul-13
CS4655,30-Dec-13
CS3904,20-Jul-14
CS4102,09-Jul-11
CS2086,05-Mar-13
CS6085,09-Jan-13
CS1328,06-Feb-13
CS4564,27-Mar-12
CS5910,01-Jan-12
CS2748,23-Mar-13
CS5147,29-Apr-13
CS1770,02-Nov-12
CS3510,24-Oct-11
CS2509,05-Dec-11
CS2859,27-Feb-15
CS1512,21-Feb-15
CS4148,22-Aug-13
CS1735,31-Mar-12
CS1588,27-Jan-12
CS5514,09-Jan-13
CS5933,07-Oct-13
CS2797,06-Mar-14
CS5313,02-Dec-12
CS5966,09-Mar-12
CS5211,18-May-14
CS1511,13-Jan-15
CS6087,24-Nov-14
CS5909,04-Feb-12
CS2845,08-Mar-13
CS1433,05-Nov-12
CS4897,12-Apr-14
CS2296,28-Dec-12
CS1494,29-Jun-13
CS3688,19-Jun-14
CS2287,23-Dec-11
CS3779,26-Jun-11
CS1423,05-Jun-14
CS2501,14-Nov-12
CS3434,22-Feb-13
CS2662,31-Aug-14
CS2209,12-Mar-12
CS4530,05-Jun-11
CS2848,04-Feb-13
CS2596,19-Sep-11
CS4421,20-May-12
CS4905,13-Apr-12
CS5704,04-Dec-11
CS2403,27-Jul-14
CS5480,28-Jan-12
CS5811,23-Aug-13
CS2051,09-Dec-14
CS3957,30-Aug-12
CS4704,25-Nov-14
CS2289,19-May-12
CS5218,21-Jun-14
CS4637,20-May-11
CS3158,06-May-12
CS4176,30-Jul-12
CS1939,25-Nov-11
CS5403,01-Dec-11
CS5489,02-Dec-14
CS4563,30-May-11
CS3508,23-May-12
CS2703,12-Oct-14
CS2596,01-May-13
CS5990,19-Oct-12
CS4215,09-Jul-11
CS4811,26-Jan-12
CS2070,30-Jan-13
CS3419,29-Jan-15
CS3668,14-Aug-14
CS4623,27-Sep-13
CS4708,02-Jul-13
CS1816,22-Sep-13
CS5376,08-Dec-13
CS4568,15-Nov-11
CS1779,27-Jan-12
CS2447,10-Jul-11
CS1985,16-Aug-11
CS2544,07-Nov-11
CS2158,11-Sep-12
CS5776,09-Sep-14
CS5653,04-Sep-13
CS2291,15-Oct-14
CS6088,29-Oct-12
CS4245,02-Jun-14
CS3344,02-Jul-14
CS1481,23-Dec-13
CS5400,23-Dec-11
CS5463,27-Aug-14
